                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3288,                 1.5354,                 1.5275,                0.90449,                0.91352,                0.93283,                0.70332,                0.86446,                0.50269,                 1.0803,               0.070166,              0.0033149,              0.0033149
                      1,                 1.0254,                0.80779,                 1.2579,                 0.9406,                0.91493,                0.94689,                0.71737,                  0.885,                0.46203,                 1.0832,                 0.0401,              0.0065824,              0.0065824
                      2,                 1.0172,                 0.7862,                 1.2482,                0.94781,                0.92554,                0.95329,                0.73396,                0.83565,                0.45289,                 1.0621,              0.0099681,              0.0097839,              0.0097839
                      3,                 1.0106,                 0.7748,                 1.2507,                0.94536,                0.92145,                0.95019,                0.72339,                0.87153,                0.49344,                 1.0756,               0.009703,               0.009703,               0.009703
                      4,                0.99716,                0.74676,                 1.2556,                0.94468,                0.93591,                0.95601,                0.73949,                0.84558,                0.43991,                 1.0622,               0.009703,               0.009703,               0.009703
                      5,                0.97913,                0.72334,                 1.2349,                0.95672,                0.93125,                0.96279,                0.74516,                0.82311,                0.42084,                 1.0527,               0.009604,               0.009604,               0.009604
                      6,                0.94463,                0.69158,                 1.2161,                 0.9171,                0.92057,                0.94703,                0.71283,                0.89622,                0.58643,                 1.0864,               0.009505,               0.009505,               0.009505
                      7,                0.92424,                0.66786,                 1.2022,                0.94938,                0.93077,                0.95687,                 0.7311,                0.86188,                0.44249,                 1.0686,               0.009406,               0.009406,               0.009406
                      8,                  0.905,                0.65219,                  1.198,                0.95815,                 0.9434,                0.96599,                0.75045,                0.82347,                0.42577,                 1.0532,               0.009307,               0.009307,               0.009307
                      9,                0.90411,                0.64595,                 1.1924,                0.94618,                0.93679,                0.96111,                0.74478,                0.84369,                0.41754,                 1.0644,               0.009208,               0.009208,               0.009208
                     10,                 0.8813,                0.62926,                 1.1851,                 0.9672,                0.94829,                0.96759,                0.76082,                0.81406,                0.37951,                  1.049,               0.009109,               0.009109,               0.009109
                     11,                0.87931,                0.61667,                 1.1792,                0.95902,                0.95262,                0.96658,                0.75949,                0.81647,                0.39056,                 1.0419,                0.00901,                0.00901,                0.00901
                     12,                0.86286,                0.60547,                 1.1735,                0.96432,                0.94396,                 0.9644,                0.76099,                0.80725,                0.39206,                 1.0431,               0.008911,               0.008911,               0.008911
                     13,                0.85341,                0.59645,                 1.1644,                0.96765,                0.94743,                0.97131,                0.77147,                0.80013,                0.35949,                 1.0304,               0.008812,               0.008812,               0.008812
                     14,                0.84625,                0.58324,                 1.1588,                0.95612,                0.95903,                0.97083,                0.76646,                0.79776,                0.37008,                 1.0326,               0.008713,               0.008713,               0.008713
                     15,                0.83758,                0.57535,                 1.1503,                0.95897,                0.95775,                0.96829,                0.75984,                0.81904,                0.38435,                 1.0408,               0.008614,               0.008614,               0.008614
                     16,                0.81666,                0.56625,                 1.1405,                0.96221,                0.95331,                0.96904,                0.77294,                0.78744,                0.36703,                   1.03,               0.008515,               0.008515,               0.008515
                     17,                0.82307,                0.55957,                 1.1426,                0.96561,                0.96426,                0.97065,                0.77588,                0.77816,                0.34583,                 1.0292,               0.008416,               0.008416,               0.008416
                     18,                0.80654,                0.54712,                 1.1275,                0.97029,                0.95286,                0.97403,                0.77476,                0.79799,                0.35692,                  1.029,               0.008317,               0.008317,               0.008317
                     19,                0.79683,                0.54285,                 1.1228,                0.96148,                0.95496,                0.96876,                0.77431,                0.78594,                0.34726,                 1.0287,               0.008218,               0.008218,               0.008218
                     20,                0.79549,                0.54146,                 1.1274,                0.96846,                0.95499,                0.96749,                0.77727,                0.78137,                0.33923,                 1.0297,               0.008119,               0.008119,               0.008119
                     21,                0.80144,                0.54011,                 1.1295,                0.96168,                0.95899,                0.96607,                0.77292,                0.79176,                 0.3512,                 1.0299,                0.00802,                0.00802,                0.00802
                     22,                0.79323,                0.53615,                  1.124,                 0.9664,                0.95969,                0.96951,                0.78085,                0.77858,                0.33921,                  1.017,               0.007921,               0.007921,               0.007921
                     23,                0.78215,                 0.5277,                 1.1204,                0.95849,                0.95219,                0.96766,                0.76863,                0.79726,                 0.3497,                 1.0359,               0.007822,               0.007822,               0.007822
                     24,                0.77205,                0.52153,                 1.1154,                0.96437,                0.96119,                 0.9728,                0.78371,                0.78356,                0.33939,                 1.0166,               0.007723,               0.007723,               0.007723
                     25,                0.76966,                0.52326,                 1.1169,                0.95797,                0.96289,                0.97571,                0.78276,                0.76888,                  0.352,                0.99911,               0.007624,               0.007624,               0.007624
                     26,                0.76014,                0.50788,                 1.1042,                0.97176,                0.96308,                0.97884,                0.78954,                0.76334,                0.34412,                0.99735,               0.007525,               0.007525,               0.007525
                     27,                0.75243,                0.50648,                 1.1041,                0.96507,                0.96489,                0.97351,                0.78483,                0.78092,                0.33718,                 1.0245,               0.007426,               0.007426,               0.007426
                     28,                 0.7476,                0.50029,                 1.0978,                0.96226,                0.96275,                0.97161,                0.78041,                0.77736,                0.34868,                 1.0246,               0.007327,               0.007327,               0.007327
                     29,                0.74966,                0.50539,                 1.1039,                0.97029,                0.96143,                0.97891,                0.78501,                0.76029,                0.34092,                 1.0001,               0.007228,               0.007228,               0.007228
                     30,                0.74993,                0.50454,                  1.101,                 0.9684,                0.96623,                 0.9788,                  0.785,                0.76486,                0.34798,                0.99429,               0.007129,               0.007129,               0.007129
                     31,                0.73828,                0.49222,                  1.093,                0.96411,                0.96959,                0.98051,                0.78708,                0.77026,                0.33565,                0.98994,                0.00703,                0.00703,                0.00703
                     32,                0.72284,                0.47853,                 1.0754,                0.96873,                0.95706,                0.97205,                0.78382,                0.77432,                0.33804,                 1.0162,               0.006931,               0.006931,               0.006931
                     33,                0.72446,                0.48199,                 1.0832,                0.96864,                0.96232,                0.97491,                0.78456,                0.77676,                0.33625,                 1.0114,               0.006832,               0.006832,               0.006832
                     34,                0.73071,                0.48179,                 1.0841,                0.96986,                0.96793,                0.97845,                0.78967,                 0.7642,                0.32901,                0.99727,               0.006733,               0.006733,               0.006733
                     35,                0.71918,                0.47594,                 1.0804,                0.97105,                0.96478,                0.97767,                0.78711,                0.77353,                0.33057,                 1.0075,               0.006634,               0.006634,               0.006634
                     36,                0.71613,                0.48213,                 1.0811,                0.96789,                0.96436,                 0.9777,                0.78844,                0.77369,                0.33623,                0.99202,               0.006535,               0.006535,               0.006535
                     37,                0.71675,                0.47126,                 1.0721,                0.97063,                0.96159,                0.98064,                0.79239,                0.74978,                0.33137,                0.98228,               0.006436,               0.006436,               0.006436
                     38,                0.70959,                0.46892,                 1.0741,                0.96655,                0.96731,                0.97977,                0.79157,                0.75363,                 0.3295,                 0.9892,               0.006337,               0.006337,               0.006337
                     39,                 0.7063,                0.46108,                 1.0655,                0.97266,                0.96486,                0.97562,                0.79227,                0.74495,                0.32386,                0.99178,               0.006238,               0.006238,               0.006238
                     40,                0.70095,                0.46082,                 1.0696,                0.97095,                0.96466,                0.97865,                0.79072,                0.76795,                0.32515,                0.99822,               0.006139,               0.006139,               0.006139
                     41,                0.69504,                0.45662,                 1.0648,                0.96268,                  0.964,                0.97776,                0.78425,                0.77484,                0.33065,                0.99986,                0.00604,                0.00604,                0.00604
                     42,                0.68324,                0.44202,                 1.0536,                0.96789,                 0.9577,                0.97256,                0.78801,                0.76565,                0.32965,                 1.0088,               0.005941,               0.005941,               0.005941
                     43,                0.69064,                0.44988,                  1.058,                0.96788,                0.96828,                0.98042,                 0.7936,                0.75796,                0.33269,                0.98242,               0.005842,               0.005842,               0.005842
                     44,                0.68478,                0.44888,                 1.0607,                0.96694,                0.96426,                  0.977,                0.79046,                0.75638,                0.32674,                 1.0021,               0.005743,               0.005743,               0.005743
                     45,                0.67579,                0.44588,                 1.0523,                0.96662,                0.96794,                0.97925,                 0.7934,                0.75582,                0.32269,                0.98904,               0.005644,               0.005644,               0.005644
                     46,                0.69027,                0.44786,                 1.0573,                0.96101,                0.96869,                0.98044,                0.79352,                 0.7483,                0.32449,                 0.9793,               0.005545,               0.005545,               0.005545
                     47,                 0.6695,                0.44196,                 1.0518,                 0.9688,                0.96485,                0.97765,                0.79099,                0.75874,                0.32502,                 1.0051,               0.005446,               0.005446,               0.005446
                     48,                0.67833,                0.43943,                 1.0492,                0.96719,                 0.9608,                0.98089,                0.79191,                0.75581,                0.33038,                0.98486,               0.005347,               0.005347,               0.005347
                     49,                0.67144,                0.43395,                 1.0461,                  0.967,                0.96095,                 0.9772,                0.79201,                0.75316,                0.32215,                0.98875,               0.005248,               0.005248,               0.005248
                     50,                0.65363,                 0.4292,                 1.0413,                0.96905,                0.96664,                0.98015,                0.79571,                0.75387,                0.32059,                 0.9913,               0.005149,               0.005149,               0.005149
                     51,                0.65942,                0.42308,                 1.0468,                0.96847,                0.96832,                0.98161,                0.79517,                0.75338,                 0.3257,                0.98203,                0.00505,                0.00505,                0.00505
                     52,                0.65796,                0.43118,                 1.0461,                0.96849,                0.96313,                 0.9799,                0.79647,                0.74056,                0.31519,                0.98691,               0.004951,               0.004951,               0.004951
                     53,                0.65496,                 0.4226,                  1.041,                0.97058,                0.96862,                 0.9745,                0.79492,                0.74826,                0.30892,                0.99189,               0.004852,               0.004852,               0.004852
                     54,                0.64355,                 0.4248,                 1.0325,                0.96508,                0.97076,                0.97939,                0.79607,                0.74512,                0.31675,                0.98761,               0.004753,               0.004753,               0.004753
                     55,                0.64563,                0.41922,                 1.0345,                0.97066,                0.96744,                0.98136,                0.79965,                0.75083,                0.31937,                0.97966,               0.004654,               0.004654,               0.004654
                     56,                0.64205,                0.41221,                 1.0293,                0.97118,                0.96904,                0.97921,                0.80074,                0.73677,                0.31307,                0.97684,               0.004555,               0.004555,               0.004555
                     57,                0.64565,                0.42129,                 1.0341,                0.96164,                0.97135,                0.97882,                0.79572,                0.74875,                0.32665,                0.97886,               0.004456,               0.004456,               0.004456
                     58,                0.63887,                0.40914,                 1.0281,                0.97398,                0.96694,                0.97733,                 0.8017,                0.73984,                0.30772,                 0.9793,               0.004357,               0.004357,               0.004357
                     59,                0.63867,                0.41343,                  1.029,                0.96727,                0.96962,                0.97984,                0.79512,                0.75831,                 0.3186,                0.97998,               0.004258,               0.004258,               0.004258
                     60,                0.63238,                0.40345,                 1.0208,                0.96653,                0.96789,                 0.9807,                0.80032,                0.74599,                 0.3132,                0.98074,               0.004159,               0.004159,               0.004159
                     61,                0.62535,                0.40237,                 1.0214,                 0.9661,                0.97159,                0.98011,                0.79968,                0.74826,                  0.305,                0.98756,                0.00406,                0.00406,                0.00406
                     62,                0.62666,                0.40237,                 1.0275,                0.97212,                0.96436,                0.97738,                0.79617,                0.75261,                 0.3101,                0.99421,               0.003961,               0.003961,               0.003961
                     63,                0.63157,                0.40231,                 1.0248,                0.96935,                0.96056,                0.97868,                0.80277,                0.74824,                0.30599,                0.98975,               0.003862,               0.003862,               0.003862
                     64,                0.62938,                0.40313,                 1.0242,                0.96738,                 0.9637,                0.98201,                0.79658,                0.75813,                0.32402,                 0.9803,               0.003763,               0.003763,               0.003763
                     65,                0.61113,                0.38868,                 1.0172,                0.97076,                0.96717,                 0.9787,                 0.8016,                0.75434,                0.30314,                 1.0045,               0.003664,               0.003664,               0.003664
                     66,                0.60796,                0.38593,                 1.0152,                0.97064,                0.96771,                0.97752,                 0.7916,                0.75712,                0.31216,                0.99859,               0.003565,               0.003565,               0.003565
                     67,                0.61125,                0.38856,                 1.0147,                0.96224,                0.96123,                0.98129,                0.80218,                0.74076,                0.31461,                0.97429,               0.003466,               0.003466,               0.003466
                     68,                0.61218,                0.38783,                 1.0133,                0.96612,                0.96845,                0.98001,                0.80258,                0.75996,                0.30776,                0.99192,               0.003367,               0.003367,               0.003367
                     69,                0.60385,                 0.3862,                 1.0124,                0.97161,                0.96418,                0.97875,                0.80184,                0.74885,                0.30465,                 0.9892,               0.003268,               0.003268,               0.003268
                     70,                0.60167,                 0.3823,                   1.01,                0.97114,                0.96477,                0.98032,                0.80391,                0.74477,                0.30504,                0.98631,               0.003169,               0.003169,               0.003169
                     71,                0.59569,                0.37505,                 1.0077,                0.96119,                0.96527,                0.98146,                 0.8021,                0.74825,                0.30837,                0.97611,                0.00307,                0.00307,                0.00307
                     72,                0.59531,                0.37623,                 1.0057,                0.96306,                0.96811,                0.97811,                0.79887,                0.74853,                0.29901,                0.99145,               0.002971,               0.002971,               0.002971
                     73,                0.59327,                0.37761,                 1.0082,                0.97126,                0.95835,                0.97572,                0.79704,                0.75104,                0.31365,                 0.9886,               0.002872,               0.002872,               0.002872
                     74,                0.59699,                0.37799,                 1.0058,                0.97031,                0.96763,                0.98051,                0.80102,                0.75313,                0.30248,                0.98964,               0.002773,               0.002773,               0.002773
                     75,                0.59058,                0.37285,                 1.0037,                0.97112,                0.96414,                0.97921,                0.80382,                0.75439,                0.30204,                0.98966,               0.002674,               0.002674,               0.002674
                     76,                0.58804,                0.37372,                 1.0037,                0.96728,                0.96534,                 0.9791,                0.79787,                0.75372,                0.30271,                0.99331,               0.002575,               0.002575,               0.002575
                     77,                0.57719,                0.36375,                 1.0001,                0.96952,                0.95259,                0.97955,                0.79824,                0.75777,                0.30593,                0.98825,               0.002476,               0.002476,               0.002476
                     78,                 0.5723,                0.35934,                0.99165,                0.96145,                0.96683,                0.97888,                0.79798,                0.75694,                0.30735,                0.98878,               0.002377,               0.002377,               0.002377
                     79,                0.57393,                0.35974,                 0.9958,                0.95967,                0.95701,                0.97654,                0.79322,                0.76245,                 0.3133,                0.99336,               0.002278,               0.002278,               0.002278
                     80,                0.57189,                0.36111,                0.99432,                0.95549,                0.96466,                0.97737,                0.80147,                0.75088,                0.30622,                 0.9902,               0.002179,               0.002179,               0.002179
                     81,                0.56479,                 0.3524,                0.98927,                0.96432,                0.96178,                 0.9777,                0.79776,                0.74826,                0.30933,                0.98317,                0.00208,                0.00208,                0.00208
                     82,                0.56861,                0.35598,                0.99198,                0.97056,                0.96025,                0.97884,                0.80324,                0.75593,                0.29676,                0.99496,               0.001981,               0.001981,               0.001981
                     83,                0.55908,                0.34999,                0.98582,                0.96909,                0.96694,                0.98015,                0.79662,                0.76078,                0.30467,                0.99117,               0.001882,               0.001882,               0.001882
                     84,                0.55473,                0.35147,                0.98672,                0.96293,                0.96517,                0.97833,                0.79602,                0.76136,                0.30436,                0.99553,               0.001783,               0.001783,               0.001783
                     85,                  0.554,                0.34353,                0.98354,                0.97351,                0.95644,                0.97859,                0.79824,                0.77228,                0.29981,                 1.0015,               0.001684,               0.001684,               0.001684
                     86,                0.56255,                0.35104,                0.98966,                0.96776,                0.96355,                0.97762,                0.79782,                0.75591,                0.29516,                0.99756,               0.001585,               0.001585,               0.001585
                     87,                 0.5551,                 0.3469,                0.98744,                0.96861,                 0.9679,                0.98069,                0.80492,                0.73964,                0.30322,                0.97346,               0.001486,               0.001486,               0.001486
                     88,                 0.5449,                0.33633,                0.97586,                0.96831,                0.96315,                0.98083,                0.80215,                0.75496,                 0.2994,                0.99271,               0.001387,               0.001387,               0.001387
                     89,                 0.5473,                0.34047,                0.97681,                0.95935,                0.96983,                0.98009,                0.80231,                0.74646,                0.29703,                0.98319,               0.001288,               0.001288,               0.001288
                     90,                0.47905,                 0.2642,                0.92545,                0.96437,                0.96193,                0.97683,                0.79933,                 0.7522,                0.30555,                 0.9885,               0.001189,               0.001189,               0.001189
                     91,                0.46703,                0.25585,                0.92414,                0.96962,                0.96201,                 0.9765,                0.79982,                0.75195,                0.29461,                 1.0068,                0.00109,                0.00109,                0.00109
                     92,                0.46362,                0.25111,                0.91695,                0.96722,                 0.9556,                0.97629,                0.79393,                0.75948,                0.31146,                0.99078,               0.000991,               0.000991,               0.000991
                     93,                0.45363,                0.24747,                 0.9102,                0.96206,                0.96412,                0.97815,                0.79843,                0.76087,                0.29796,                0.99587,               0.000892,               0.000892,               0.000892
                     94,                 0.4554,                0.24816,                0.91365,                0.96873,                0.95671,                0.97826,                0.79952,                0.76172,                0.30302,                0.99209,               0.000793,               0.000793,               0.000793
                     95,                0.45071,                0.24333,                0.90913,                0.96648,                 0.9614,                0.97524,                0.79947,                 0.7551,                0.29791,                0.99984,               0.000694,               0.000694,               0.000694
                     96,                0.45162,                0.24474,                0.91118,                0.96067,                0.96581,                0.97694,                0.79878,                0.76078,                0.29656,                 1.0038,               0.000595,               0.000595,               0.000595
                     97,                0.44574,                0.24099,                 0.9059,                0.97024,                0.95694,                0.97679,                0.79257,                0.77728,                0.30523,                 1.0062,               0.000496,               0.000496,               0.000496
                     98,                0.44256,                0.23744,                0.90314,                0.96949,                0.95967,                0.97766,                0.79844,                0.75748,                0.29673,                 1.0024,               0.000397,               0.000397,               0.000397
                     99,                0.44088,                0.23915,                 0.9062,                0.96908,                0.95999,                0.97764,                0.79461,                0.76525,                 0.3021,                 1.0016,               0.000298,               0.000298,               0.000298
